Artistas,Composición,Género,Nacionalidad,Género musical,Debut
Passion Pit,Banda,M,Estados Unidos,Pop,2007
Planeta No,Banda,M,Chile,Pop,2011
Protistas,Banda,M,Chile,Pop,2008
Shawn Mendes,Solista,M,Estados Unidos,Pop,2013
Sofi Tukker,Solista,M,Estados Unidos,Pop,2014
Tai Verdes,Solista,M,Estados Unidos,Pop,2020
Teddy Swims,Solista,M,Estados Unidos,Pop,2011
The Driver Era,Banda,M,Estados Unidos,Pop,2018
The weeknd,Solista,M,Estados Unidos,Pop,2011
Topa,Solista,M,Argentina,Pop,1996
Tréboles,Banda,M,Chile,Pop,2004
Troye Sivan,Solista,M,Australia,Pop,2014
Twenty one Pilots,Banda,M,Estados Unidos,Pop,2009
Vance Joy,Solista,M,Australia,Pop,2013
Moral Distraida,Banda,M,Chile,Pop,2010
Dënver ,Banda,Mixto,Chile,Pop,2004
Javiera y Los Imposibles,Banda,Mixto,Chile,Pop,1933
La Guacha,Banda,Mixto,Chile,Pop,2010
Monsieur Periné,Banda,Mixto,Colombia,Pop,2007
Mosieur Periné,Banda,Mixto,Colombia,Pop,2007
Oh Wonder,Banda,Mixto,Reino Unido,Pop,2014
Playa Gótica,Banda,Mixto,Chile,Pop,2014
Sam Smith,Solista,Mixto,Reino Unido,Pop,2012
The Marías,Banda,Mixto,Estados Unidos,Pop,2016
Tunacola,Banda,Mixto,Chile,Pop,2009
Marina,Solista,F,Reino Unido,Pop,2009
Sophi Lira,Solista,F,Perú,Pop,2015
Francisco Victoria,Solista,M,Chile,Pop,2018
Jet Lag,Banda,M,Argentina,Pop,2002
Cansei de Ser Sexy,Banda,F,Brasil,Punk,2003
Bad brains,Banda,M,Estados Unidos,Punk,1977
Bad Religion,Banda,M,Estados Unidos,Punk,1979
Blink-182,Banda,M,Estados Unidos,Punk,1992
Boom Boom Kid,Solista,M,Argentina,Punk,2000
FrioLento,Banda,M,Chile,Punk,2018
Gufi,Banda,M,Chile,Punk,2002
Idles,Banda,M,Reino Unido,Punk,2009
La floripondio,Banda,M,Chile,Punk,1990
Machuca,Banda,M,Chile,Punk,1991
NOFX,Banda,M,Estados Unidos,Punk,1983
OTTTO,Banda,M,Estados Unidos,Punk,2017
Rise Against,Banda,M,Estados Unidos,Punk,1999
The fever 333,Banda,M,Estados Unidos,Punk,2017
The Offspring,Banda,M,Estados Unidos,Punk,1984
Tronic,Banda,M,Chile,Punk,2001
Turnstile,Banda,M,Estados Unidos,Punk,2010
Estoy Bien,Banda,Mixto,Chile,Punk,2020
Gogol Bordello,Banda,Mixto,Estados Unidos,Punk,1999
Los Miserables,Banda,Mixto,Chile,Punk,1983
Miss Garrison,Banda,Mixto,Chile,Punk,2009
Pierce the Viel,Banda,Mixto,Estados Unidos,Punk,2007
Red oblivion,Banda,Mixto,Estados Unidos,Punk,2012
Resina Lala,Banda,Mixto,Colombia,Punk,2012
Marky Ramone,Solista,M,Estados Unidos,Punk,1971
Fiskales Ad-Hok,Banda,M,Chile,Punk,1987
Elena Rose,Solista,F,Estados Unidos,R&B,2019
Girl Ultra,Solista,F,México,R&B,2016
Jessie Reyez,Solista,F,Canadá,R&B,2016
Jorja Smith,Solista,F,Reino Unido,R&B,2016
Kehlani,Solista,F,Estados Unidos,R&B,2014
Masquemusica,Solista,F,Chile,R&B,2006
SZA,Solista,F,Estados Unidos,R&B,2012
