Artistas,Composición,Género,Nacionalidad,Género musical,Debut
iLe,Solista,F,Puerto Rico,Pop,2016
Illya Kuryaki & The Valderramas,Banda,M,Argentina,Rock,1991
Imagine Dragons,Banda,M,Estados Unidos,Rock,2008
Indios,Banda,M,México,Rock,2009
Inhaler,Banda,M,Irlanda,Rock,2012
Interpol,Banda,M,Estados Unidos,Rock,1997
Inti Illimani,Banda,M,Chile,Tropical,1967
Inti-Illimani Histórico,Banda,M,Chile,Folk,2004
Intimate stranger,Banda,Mixto,Chile,Rock,2003
Iron Lion,Banda,M,Chile,Infantil,2012
Isa Rojas,Solista,F,Chile,Pop,2015
Israel Vibration & Roots Radics,Banda,M,Jamaica,Reggae,1970
Ital,Solista,M,Chile,Electrónica,2001
Jack Harlow,Solista,M,Estados Unidos,hip-hop/rap,2020
Jack Novak,Solista,F,Estados Unidos,Electrónica,2015
Jack Ü,Banda,M,Estados Unidos,Electrónica,2013
Jack White,Solista,M,Estados Unidos,Rock,2012
Jain,Solista,F,Francia,Pop,2015
Jake Bugg,Solista,M,Inglaterra,Rock,2011
James,Banda,M,Reino Unido,Rock,1982
Jane´s Addiction,Banda,M,Estados Unidos,Rock,1985
Javiera Mena,Solista,F,Chile,Pop,2006
Javiera y Los Imposibles,Banda,Mixto,Chile,Pop,1933
Jean Paul Olhaberry,Solista,M,Chile,Show de Magia,2004
Jefe Indio,Solista,M,Chile,Hip-hop/rap,2010
Jere Klein,Solista,M,Chile,Trap,2020
Jesse Baez,Solista,M,Guatemala,R&B,2015
Jessie Reyez,Solista,F,Canadá,R&B,2016
Jet Lag,Banda,M,Argentina,Pop rock,2002
Jhay Cortez,Solista,M,Puerto Rico,Reggaeton,2019
Jiminelson,Solista,M,Estados Unidos,R&B,2004
Jimmy eat world,Banda,M,Estados Unidos,Rock,1993
Joachim Garraud,Solista,M,Francia,Electrónica,1988
Joan Jett & The Blackhearts,Banda,Mixto,Estados Unidos,Rock,1981
Joe Vasconcellos,Solista,M,Chile,R&B,1995
John Summit,Solista,M,Estados Unidos,Electrónica,2023
Johnny Marr,Solista,M,Reino Unido,Rock,2013
Jordan Ferrer,Solista,M,Chile,Electrónica,2014
Jorge González,Solista,M,Chile,Rock,2001
Jorja Smith,Solista,F,Reino Unido,R&B,2016
José Madero,Solista,M,México,Rock,2016
Jotape Psycho,Solista,M,Chile,Trap,2019
Jovanotti,Solista,M,Italia,Hip-hop/rap,1988
JPEGMafia,Solista,M,Estados Unidos,Hip-hop/rap,2007
Juana Fe,Banda,M,Chile,Cumbia,2004
Juanes,Solista,M,Colombia,Rock,2000
Julian Casablancas,Solista,M,Estados Unidos,Rock,2009
Julio Victoria,Solista,M,Colombia,Electrónica,2010
Julius Popper,Banda,M,Chile,Rock,2005
Jungle,Banda,M,Reino Unido,Electrónica,2014
Justin Quiles,Solista,M,Estados Unidos,Reggaeton,2015
Justin Timberlake,Solista,M,Estados Unidos,Pop,1998
JXDN,Solista,M,Estados Unidos,Rock,2020
Kaiser Chiefs,Banda,M,Reino Unido,Rock,2000
Kaleema,Solista,F,Argentina,Electrónica,2015
Kaleo,Banda,M,Islandia,Rock ,2012
Kali Mutsa,Banda,Mixto,Chile,Electrónica,2011
