Año,Artista,Composición,Género,nacionalidad,escenario,tiempo / escenario,headliner,Dia 
2014,Zedd,Solista,Masculino,Rusia,LG G2 Stage,90 minutos,No,Sabado
2015,3x7 veintiuna,Banda,Masculino,chile,Kidzapalooza,45 minutos,No,Sabado
2015,Abya Yala,Banda,Mixto,chile,Acer Stage,45 minutos,no,Sabado
2015,AFRIK,solista,Masculino,Chile,D-Box VTR Stage,60 minutos,No,domingo
2015,Alt-J,Banda,Masculino,Reino Unido,Coca Cola Stage,60 minutos,No,domingo
2015,Ana Tijoux,Solista,Femenino,Chile,Acer Stage,75 minutos,No,Sabado
2015,Astro,Banda,Masculino,Chile,VTR Stage,45 minutos,No,Domingo
2015,ATOM,solista,Masculino,Estados Unidos,D-Box VTR Stage,60 minutos,No,domingo
2015,Bastille,Banda,Masculino,Reino Unido,VTR Stage,60 minutos,No,domingo
2015,Calvin Harris,Solista,Masculino,Reino Unido,Coca Cola Stage,75 minutos,No,domingo
2015,Camila Moreno ,Solista,Femenino,Chile,Acer Stage,60 minutos,No,Sabado
2015,Carnage,Solista,Masculino,Estados Unidos,d-Box VTR Stage,60 minutos,No,Sabado
2015,Chancho en Piedra & Los Tetas,Banda,Masculino,Chile,Acer Stage,60 minutos,No,Sabado
2015,Chet Faker,Solista,Masculino,Australia,Acer Stage,60 minutos,No,domingo
2015,Chinoy,Solista,Masculino,Chile,Lotus Stage,60 minutos,No,Sabado
2015,Coffeehouse,Banda,Masculino,Chile,Acer Stage,30 minutos,No,domingo
2015,Congreso,Banda,Masculino,chile,Coca Cola Stage,60 minutos,No,Sabado
2015,Cypress Hill,Banda,Masculino,Estados Unidos,D-Box VTR Stage,75 minutos,No,domingo
2015,Dead Crhistine,Banda,Mixto,Chile,Lotus Stage,30 minutos,No,domingo
2015,Demian Marley,Solista,Masculino,Jamaica,Acer Stage,60 minutos,No,domingo
2015,Dillon Francis,Solista,Masculino,Estados Unidos,d-Box VTR Stage,60 minutos,No,Sabado
2015,DJ CASO,Solista,Masculino,Chile,d-Box VTR Stage,60 minutos,No,Sabado
2015,Dj Snake,Solista,Masculino,francia,D-Box VTR Stage,75 minutos,No,domingo
2015,Donavon Frankenreiter,Solista,Masculino,Estados Unidos,VTR Stage,60 minutos,No,Sabado
2015,Esteman,Solista,Masculino,Colombia,Lotus Stage,60 minutos,No,Sabado
2015,Farmacos,Banda,Mixto,Chile,Lotus Stage,30 minutos,No,domingo
2015,Fernando Milagros,Solista,Masculino,Chile,VTR Stage,45 minutos,No,Sabado
2015,Foster the People,Banda,Masculino,Estados Unidos,Coca Cola Stage,75 minutos,No,Sabado
2015,Heavysaurios,Banda,Mixto,Argentina,Kidzapalooza,45 minutos,No,domingo
2015,Hielo Negro,Banda,Masculino,chile,Lotus Stage,45 minutos,No,Sabado
2015,interpol,Banda,Masculino,Estados Unidos,Acer Stage,75 minutos,No,domingo
2015,Jack White,Solista,Masculino,Estados Unidos,VTR Stage,120 minutos,Si,Sabado
2015,Javiera y los imposibles,Solista,Mixto,chile,Lotus Stage,60 minutos,No,Sabado
2015,Kasabian,Banda,Masculino,Reino Unido,Coca Cola Stage,75 minutos,No,domingo
2015,Kill The Noise,Solista,Masculino,Estados Unidos,d-Box VTR Stage,60 minutos,No,Sabado
2015,Kings of leon,Banda,Masculino,Estados Unidos,VTR Stage,90 minutos,Si,domingo
2015,La ciscu Margaret,Banda,Masculino,chile,Kidzapalooza,45 minutos,No,Sabado
2015,Las aventuras del barco volador,Banda,Mixto,Chile,Kidzapalooza,45 minutos,No,domingo
2015,Lilits,Banda,Femenino,Chile,Lotus Stage,45 minutos,No,domingo
2015,Lopez,Banda,Masculino,Chile,Coca Cola Stage,45 minutos,No,Sabado
2015,Los Plumabits,Banda,Mixto,chile,Kidzapalooza,45 minutos,No,domingo
2015,Lumumba,Banda,Masculino,Argentina,Coca Cola Stage,60 minutos,No,domingo
2015,Major Lazer,Banda,Masculino,Estados Unidos,D-Box VTR Stage,90 minutos,No,domingo
2015,Manu Da Banda,Banda,Mixto,Chile,Lotus Stage,45 minutos,No,Sabado
2015,Maria Magdalena,solista,Femenino,Chile,Lotus Stage,45 minutos,No,domingo
2015,Marineros,Banda,Femenino,Chile,Lotus Stage,30 minutos,No,Sabado
2015,Mass Mental,Banda,Masculino,Estados Unidos,Acer Stage,45 minutos,No,domingo
